Data Point Listing of File C:\Users\set.a.m2s.036\Documents\Aris\CPMG_silicon_oil_20251204.tnt
Starting Point:	1	Ending Point:	40000
Starting 2D Record:	1	Ending Record:	1
Real	Imag	usec
184525.000	-641539.000	1356.000
227709.000	-568664.000	1360.000
224906.000	-480499.000	1364.000
194318.000	-391796.000	1368.000
150925.000	-306950.000	1372.000
3374.000	-510346.000	1376.000
37226.000	-596614.000	1380.000
101968.000	-649528.000	1384.000
183614.000	-642393.000	1388.000
226368.000	-570312.000	1392.000
225530.000	-481410.000	1396.000
196871.000	-389008.000	1400.000
149798.000	-310424.000	1404.000
3495.000	-505353.000	1408.000
35868.000	-594390.000	1412.000
102991.000	-649081.000	1416.000
183783.000	-640737.000	1420.000
225332.000	-567022.000	1424.000
224461.000	-475775.000	1428.000
194124.000	-389603.000	1432.000
151533.000	-306695.000	1436.000
5215.000	-506593.000	1440.000
34969.000	-592930.000	1444.000
102250.000	-649113.000	1448.000
185180.000	-640632.000	1452.000
227905.000	-566872.000	1456.000
226652.000	-477113.000	1460.000
197549.000	-389600.000	1464.000
149288.000	-304638.000	1468.000
5761.000	-507409.000	1472.000
36136.000	-591760.000	1476.000
106160.000	-647043.000	1480.000
180093.000	-638074.000	1484.000
225717.000	-565617.000	1488.000
223851.000	-476684.000	1492.000
198022.000	-387406.000	1496.000
150440.000	-305046.000	1500.000
3623.000	-505262.000	1504.000
35786.000	-589780.000	1508.000
102479.000	-645056.000	1512.000
182754.000	-638320.000	1516.000
224605.000	-568718.000	1520.000
225354.000	-477254.000	1524.000
195545.000	-387877.000	1528.000
154265.000	-303747.000	1532.000
4234.000	-504216.000	1536.000
34523.000	-588356.000	1540.000
102364.000	-643335.000	1544.000
182603.000	-634913.000	1548.000
227624.000	-562453.000	1552.000
225904.000	-475787.000	1556.000
196598.000	-387272.000	1560.000
147986.000	-305313.000	1564.000
3669.000	-499746.000	1568.000
34471.000	-589966.000	1572.000
101482.000	-643163.000	1576.000
179947.000	-635371.000	1580.000
223690.000	-562117.000	1584.000
224946.000	-474327.000	1588.000
194211.000	-386431.000	1592.000
148089.000	-305002.000	1596.000
3303.000	-499102.000	1600.000
32382.000	-586047.000	1604.000
103391.000	-642115.000	1608.000
181074.000	-633385.000	1612.000
223717.000	-564017.000	1616.000
224655.000	-474201.000	1620.000
193790.000	-385922.000	1624.000
148094.000	-301681.000	1628.000
4621.000	-502732.000	1632.000
36659.000	-586059.000	1636.000
99980.000	-642752.000	1640.000
179741.000	-631992.000	1644.000
223671.000	-559218.000	1648.000
221889.000	-472949.000	1652.000
193748.000	-381833.000	1656.000
149089.000	-299864.000	1660.000
3682.000	-497141.000	1664.000
36733.000	-584653.000	1668.000
100490.000	-641828.000	1672.000
179660.000	-627869.000	1676.000
222552.000	-557832.000	1680.000
224319.000	-469893.000	1684.000
192678.000	-383937.000	1688.000
146859.000	-302050.000	1692.000
2258.000	-498535.000	1696.000
35227.000	-583334.000	1700.000
97047.000	-639514.000	1704.000
175837.000	-629072.000	1708.000
220542.000	-558989.000	1712.000
221796.000	-471323.000	1716.000
190584.000	-380658.000	1720.000
146388.000	-302313.000	1724.000
4218.000	-497702.000	1728.000
34963.000	-582911.000	1732.000
98417.000	-638288.000	1736.000
178129.000	-625499.000	1740.000
222730.000	-556455.000	1744.000
224680.000	-468993.000	1748.000
194402.000	-378648.000	1752.000
149165.000	-299656.000	1756.000
1044.000	-495346.000	1760.000
32572.000	-582114.000	1764.000
99136.000	-636109.000	1768.000
179392.000	-625147.000	1772.000
221997.000	-555416.000	1776.000
224951.000	-468721.000	1780.000
192185.000	-380161.000	1784.000
147283.000	-299925.000	1788.000
1783.000	-493371.000	1792.000
36858.000	-579823.000	1796.000
