Data Point Listing of File C:\Users\set.a.m2s.036\Documents\Aris\CPMG_CuSO4_20251118.tnt
Starting Point:	1	Ending Point:	32000
Starting 2D Record:	1	Ending Record:	1
Real	Imag	usec
1250.000	-16550.000	1672.000
-2146.000	-17358.000	1676.000
-4266.000	-12806.000	1680.000
0.000	0.000	1684.000
0.000	0.000	1688.000
0.000	0.000	1692.000
1563.000	-4680.000	1696.000
2662.000	-11238.000	1700.000
1122.000	-15547.000	1704.000
-2048.000	-16441.000	1708.000
-3734.000	-12213.000	1712.000
0.000	0.000	1716.000
0.000	0.000	1720.000
0.000	0.000	1724.000
1980.000	-4997.000	1728.000
3597.000	-12179.000	1732.000
1837.000	-16884.000	1736.000
-1325.000	-17785.000	1740.000
-3897.000	-12877.000	1744.000
0.000	0.000	1748.000
0.000	0.000	1752.000
0.000	0.000	1756.000
1755.000	-4717.000	1760.000
3038.000	-11630.000	1764.000
931.000	-15600.000	1768.000
-2813.000	-16589.000	1772.000
-5234.000	-12603.000	1776.000
0.000	0.000	1780.000
0.000	0.000	1784.000
0.000	0.000	1788.000
2097.000	-4630.000	1792.000
3758.000	-11367.000	1796.000
1209.000	-15856.000	1800.000
-2604.000	-16840.000	1804.000
-4941.000	-12498.000	1808.000
0.000	0.000	1812.000
0.000	0.000	1816.000
0.000	0.000	1820.000
2085.000	-4901.000	1824.000
3684.000	-12093.000	1828.000
1333.000	-16541.000	1832.000
-2195.000	-17574.000	1836.000
-4817.000	-12897.000	1840.000
0.000	0.000	1844.000
0.000	0.000	1848.000
0.000	0.000	1852.000
1649.000	-5113.000	1856.000
3138.000	-12174.000	1860.000
1239.000	-16494.000	1864.000
-1977.000	-17433.000	1868.000
-4317.000	-13175.000	1872.000
0.000	0.000	1876.000
0.000	0.000	1880.000
0.000	0.000	1884.000
1636.000	-5554.000	1888.000
2997.000	-13018.000	1892.000
1030.000	-17169.000	1896.000
-2024.000	-18025.000	1900.000
-3961.000	-13385.000	1904.000
0.000	0.000	1908.000
0.000	0.000	1912.000
0.000	0.000	1916.000
1211.000	-5377.000	1920.000
2210.000	-12643.000	1924.000
694.000	-17145.000	1928.000
-2343.000	-18017.000	1932.000
-4540.000	-13357.000	1936.000
0.000	0.000	1940.000
0.000	0.000	1944.000
0.000	0.000	1948.000
1641.000	-4404.000	1952.000
2909.000	-11344.000	1956.000
1057.000	-15840.000	1960.000
-2277.000	-17193.000	1964.000
-4367.000	-12586.000	1968.000
0.000	0.000	1972.000
0.000	0.000	1976.000
0.000	0.000	1980.000
1648.000	-4767.000	1984.000
3098.000	-12112.000	1988.000
1339.000	-16706.000	1992.000
-1746.000	-17979.000	1996.000
-3773.000	-13206.000	2000.000
0.000	0.000	2004.000
0.000	0.000	2008.000
0.000	0.000	2012.000
1268.000	-5040.000	2016.000
2320.000	-12278.000	2020.000
687.000	-16780.000	2024.000
-2468.000	-17371.000	2028.000
-4572.000	-12760.000	2032.000
0.000	0.000	2036.000
0.000	0.000	2040.000
0.000	0.000	2044.000
1874.000	-4849.000	2048.000
3468.000	-11716.000	2052.000
1823.000	-15751.000	2056.000
-1574.000	-16797.000	2060.000
-4319.000	-12108.000	2064.000
0.000	0.000	2068.000
0.000	0.000	2072.000
0.000	0.000	2076.000
1565.000	-4800.000	2080.000
3014.000	-11860.000	2084.000
1259.000	-16272.000	2088.000
-1734.000	-17250.000	2092.000
-4053.000	-12621.000	2096.000
0.000	0.000	2100.000
0.000	0.000	2104.000
0.000	0.000	2108.000
1443.000	-5740.000	2112.000
2551.000	-13510.000	2116.000
603.000	-17295.000	2120.000
-2583.000	-17487.000	2124.000
-4526.000	-12645.000	2128.000
0.000	0.000	2132.000
0.000	0.000	2136.000
0.000	0.000	2140.000
1391.000	-4997.000	2144.000
2874.000	-11944.000	2148.000
1215.000	-16228.000	2152.000
-1742.000	-17201.000	2156.000
-4129.000	-12742.000	2160.000
0.000	0.000	2164.000
0.000	0.000	2168.000
0.000	0.000	2172.000
1547.000	-4773.000	2176.000
2813.000	-11662.000	2180.000
1244.000	-16171.000	2184.000
-2111.000	-16966.000	2188.000
-4453.000	-12138.000	2192.000
0.000	0.000	2196.000
0.000	0.000	2200.000
0.000	0.000	2204.000
1775.000	-5265.000	2208.000
3307.000	-12559.000	2212.000
1374.000	-16480.000	2216.000
-2070.000	-17303.000	2220.000
-4651.000	-12495.000	2224.000
0.000	0.000	2228.000
0.000	0.000	2232.000
0.000	0.000	2236.000
1707.000	-4426.000	2240.000
3457.000	-11213.000	2244.000
1943.000	-15381.000	2248.000
-1102.000	-16169.000	2252.000
-3524.000	-11768.000	2256.000
0.000	0.000	2260.000
0.000	0.000	2264.000
0.000	0.000	2268.000
1798.000	-4753.000	2272.000
3194.000	-11697.000	2276.000
1319.000	-15935.000	2280.000
-2066.000	-17175.000	2284.000
-4270.000	-13051.000	2288.000
0.000	0.000	2292.000
0.000	0.000	2296.000
0.000	0.000	2300.000
1956.000	-4792.000	2304.000
3550.000	-11627.000	2308.000
1680.000	-15938.000	2312.000
-1734.000	-16955.000	2316.000
-4020.000	-12332.000	2320.000
0.000	0.000	2324.000
0.000	0.000	2328.000
0.000	0.000	2332.000
1548.000	-4434.000	2336.000
2718.000	-11015.000	2340.000
651.000	-15831.000	2344.000
-2503.000	-17136.000	2348.000
-4622.000	-12787.000	2352.000
0.000	0.000	2356.000
0.000	0.000	2360.000
0.000	0.000	2364.000
2008.000	-4767.000	2368.000
3493.000	-11379.000	2372.000
1594.000	-15828.000	2376.000
-1669.000	-16996.000	2380.000
-3649.000	-12761.000	2384.000
0.000	0.000	2388.000
0.000	0.000	2392.000
0.000	0.000	2396.000
1738.000	-5154.000	2400.000
3018.000	-12255.000	2404.000
1299.000	-16418.000	2408.000
-2092.000	-17335.000	2412.000
-4320.000	-12891.000	2416.000
0.000	0.000	2420.000
0.000	0.000	2424.000
0.000	0.000	2428.000
1458.000	-4442.000	2432.000
2449.000	-11158.000	2436.000
1019.000	-15492.000	2440.000
-2205.000	-16628.000	2444.000
-4249.000	-12081.000	2448.000
0.000	0.000	2452.000
0.000	0.000	2456.000
0.000	0.000	2460.000
1656.000	-4842.000	2464.000
3297.000	-11706.000	2468.000
1997.000	-15755.000	2472.000
-1281.000	-16295.000	2476.000
-3875.000	-12127.000	2480.000
0.000	0.000	2484.000
0.000	0.000	2488.000
0.000	0.000	2492.000
1998.000	-5054.000	2496.000
3925.000	-12284.000	2500.000
2101.000	-16489.000	2504.000
-1109.000	-17229.000	2508.000
-3593.000	-12689.000	2512.000
0.000	0.000	2516.000
0.000	0.000	2520.000
0.000	0.000	2524.000
1599.000	-4920.000	2528.000
3027.000	-12179.000	2532.000
1341.000	-16361.000	2536.000
-2216.000	-17665.000	2540.000
-4514.000	-13588.000	2544.000
0.000	0.000	2548.000
0.000	0.000	2552.000
0.000	0.000	2556.000
1230.000	-5132.000	2560.000
2143.000	-12484.000	2564.000
581.000	-16755.000	2568.000
-2319.000	-17552.000	2572.000
-4373.000	-12961.000	2576.000
0.000	0.000	2580.000
0.000	0.000	2584.000
0.000	0.000	2588.000
1393.000	-5049.000	2592.000
2571.000	-12242.000	2596.000
1053.000	-16628.000	2600.000
-2071.000	-17577.000	2604.000
-4307.000	-13122.000	2608.000
0.000	0.000	2612.000
0.000	0.000	2616.000
0.000	0.000	2620.000
1831.000	-4909.000	2624.000
3224.000	-11653.000	2628.000
1214.000	-15718.000	2632.000
-2474.000	-16314.000	2636.000
-4827.000	-11590.000	2640.000
0.000	0.000	2644.000
0.000	0.000	2648.000
0.000	0.000	2652.000
2404.000	-4308.000	2656.000
4133.000	-10853.000	2660.000
1727.000	-15481.000	2664.000
-1929.000	-17026.000	2668.000
-4558.000	-12816.000	2672.000
0.000	0.000	2676.000
0.000	0.000	2680.000
0.000	0.000	2684.000
1697.000	-4419.000	2688.000
2869.000	-11074.000	2692.000
858.000	-15642.000	2696.000
-2226.000	-16907.000	2700.000
-4405.000	-12505.000	2704.000
0.000	0.000	2708.000
0.000	0.000	2712.000
0.000	0.000	2716.000
1919.000	-5226.000	2720.000
3582.000	-12235.000	2724.000
1569.000	-16352.000	2728.000
-1644.000	-16978.000	2732.000
-4120.000	-12361.000	2736.000
0.000	0.000	2740.000
0.000	0.000	2744.000
0.000	0.000	2748.000
1649.000	-5357.000	2752.000
3041.000	-12534.000	2756.000
1674.000	-16348.000	2760.000
-1411.000	-17067.000	2764.000
-3232.000	-12423.000	2768.000
0.000	0.000	2772.000
0.000	0.000	2776.000
0.000	0.000	2780.000
1656.000	-4438.000	2784.000
3040.000	-11333.000	2788.000
1149.000	-15704.000	2792.000
-2459.000	-16982.000	2796.000
-4432.000	-12873.000	2800.000
0.000	0.000	2804.000
0.000	0.000	2808.000
0.000	0.000	2812.000
2434.000	-4582.000	2816.000
4267.000	-11238.000	2820.000
2014.000	-15518.000	2824.000
-2036.000	-16678.000	2828.000
-4617.000	-12334.000	2832.000
0.000	0.000	2836.000
0.000	0.000	2840.000
0.000	0.000	2844.000
1527.000	-4883.000	2848.000
2807.000	-11669.000	2852.000
545.000	-15464.000	2856.000
-2993.000	-16161.000	2860.000
-5203.000	-11637.000	2864.000
0.000	0.000	2868.000
0.000	0.000	2872.000
0.000	0.000	2876.000
1816.000	-4155.000	2880.000
3307.000	-10531.000	2884.000
1041.000	-15140.000	2888.000
-2669.000	-16709.000	2892.000
-4929.000	-12749.000	2896.000
0.000	0.000	2900.000
0.000	0.000	2904.000
0.000	0.000	2908.000
2097.000	-4998.000	2912.000
3702.000	-12036.000	2916.000
1732.000	-16283.000	2920.000
-1748.000	-17191.000	2924.000
-4231.000	-12704.000	2928.000
0.000	0.000	2932.000
0.000	0.000	2936.000
0.000	0.000	2940.000
1671.000	-4991.000	2944.000
3043.000	-11760.000	2948.000
1168.000	-15907.000	2952.000
-1951.000	-16952.000	2956.000
-4100.000	-12852.000	2960.000
0.000	0.000	2964.000
0.000	0.000	2968.000
0.000	0.000	2972.000
1466.000	-5029.000	2976.000
2747.000	-11949.000	2980.000
1110.000	-16119.000	2984.000
-1787.000	-17069.000	2988.000
-3842.000	-12868.000	2992.000
0.000	0.000	2996.000
0.000	0.000	3000.000
0.000	0.000	3004.000
1986.000	-4819.000	3008.000
3766.000	-11803.000	3012.000
1547.000	-15900.000	3016.000
-1830.000	-16570.000	3020.000
-4189.000	-12139.000	3024.000
0.000	0.000	3028.000
0.000	0.000	3032.000
0.000	0.000	3036.000
1759.000	-4894.000	3040.000
3227.000	-11852.000	3044.000
1815.000	-16121.000	3048.000
-1250.000	-17210.000	3052.000
-3198.000	-12811.000	3056.000
0.000	0.000	3060.000
0.000	0.000	3064.000
0.000	0.000	3068.000
1400.000	-4913.000	3072.000
2606.000	-11722.000	3076.000
944.000	-15819.000	3080.000
-2184.000	-16411.000	3084.000
-4236.000	-12356.000	3088.000
0.000	0.000	3092.000
0.000	0.000	3096.000
0.000	0.000	3100.000
1734.000	-4804.000	3104.000
3215.000	-11448.000	3108.000
1517.000	-15414.000	3112.000
-1622.000	-16411.000	3116.000
-4087.000	-12140.000	3120.000
0.000	0.000	3124.000
0.000	0.000	3128.000
0.000	0.000	3132.000
2039.000	-4539.000	3136.000
3376.000	-11114.000	3140.000
1021.000	-15345.000	3144.000
-2501.000	-16222.000	3148.000
-5070.000	-12170.000	3152.000
0.000	0.000	3156.000
0.000	0.000	3160.000
0.000	0.000	3164.000
1960.000	-4965.000	3168.000
3380.000	-12084.000	3172.000
1412.000	-15831.000	3176.000
-1900.000	-16511.000	3180.000
-3964.000	-12021.000	3184.000
0.000	0.000	3188.000
0.000	0.000	3192.000
0.000	0.000	3196.000
2232.000	-5075.000	3200.000
4192.000	-11865.000	3204.000
2397.000	-15295.000	3208.000
-755.000	-15783.000	3212.000
-2734.000	-11122.000	3216.000
0.000	0.000	3220.000
0.000	0.000	3224.000
0.000	0.000	3228.000
1589.000	-4920.000	3232.000
2844.000	-11782.000	3236.000
922.000	-15654.000	3240.000
-2586.000	-16391.000	3244.000
-4449.000	-12123.000	3248.000
0.000	0.000	3252.000
0.000	0.000	3256.000
0.000	0.000	3260.000
1536.000	-4755.000	3264.000
2848.000	-11398.000	3268.000
1138.000	-15364.000	3272.000
-1888.000	-16586.000	3276.000
-4079.000	-12639.000	3280.000
0.000	0.000	3284.000
0.000	0.000	3288.000
0.000	0.000	3292.000
2174.000	-4778.000	3296.000
3921.000	-11385.000	3300.000
1668.000	-15162.000	3304.000
-1886.000	-15742.000	3308.000
-4081.000	-11165.000	3312.000
0.000	0.000	3316.000
0.000	0.000	3320.000
0.000	0.000	3324.000
2023.000	-4938.000	3328.000
3810.000	-11914.000	3332.000
1942.000	-16009.000	3336.000
-1631.000	-16694.000	3340.000
-4232.000	-12176.000	3344.000
0.000	0.000	3348.000
0.000	0.000	3352.000
0.000	0.000	3356.000
1672.000	-4567.000	3360.000
3075.000	-11248.000	3364.000
1180.000	-15315.000	3368.000
-1634.000	-16385.000	3372.000
-3684.000	-12291.000	3376.000
0.000	0.000	3380.000
0.000	0.000	3384.000
0.000	0.000	3388.000
1978.000	-5542.000	3392.000
3689.000	-13028.000	3396.000
1713.000	-16953.000	3400.000
-1701.000	-17426.000	3404.000
-4274.000	-12622.000	3408.000
0.000	0.000	3412.000
0.000	0.000	3416.000
0.000	0.000	3420.000
1672.000	-4716.000	3424.000
3156.000	-11423.000	3428.000
1710.000	-15282.000	3432.000
